name,version,description,downloads,ranking
Lucene.Net,3.0.3,"Lucene.Net is a port of the Lucene search engine library, written in C# and targeted at .NET runtime users.
	This package contains only the core Lucene.Net assembly.","36,173,522",421
AWSSDK.CloudWatch,3.7.402.71,"Amazon CloudWatch is a monitoring service for AWS cloud resources and the applications you run on AWS. You can use Amazon CloudWatch to collect and track metrics, collect and monitor log files, and set alarms.","36,168,145",422
TencentCloudSDK.Common,3.0.1212,Tencent Cloud API 3.0 SDK for .NET,"36,154,841",423
ServiceStack.Interfaces,8.6.0,"Lightweight and implementation-free interfaces for DTO's, providers and adapters.","36,045,348",424
LazyCache,2.4.0,"Lazy cache is a simple, thread safe, in-memory caching library that makes it easy to add high performance caching to your dotnet app.","35,930,739",425
OctoPack,3.6.5,"Octopus Deploy is an automated deployment tool powered by NuGet. This tool adds a post-build activity to your Visual Studio project, so that an Octopus-compatible NuGet package is produced in the Bin directory...
More information","35,500,960",426
BenchmarkDotNet.Annotations,0.14.0,Powerful .NET library for benchmarking,"35,486,991",427
NLog.Schema,5.4.0,"XSD file to enables Intellisense(TM) when editing NLog configuration files, for example in Visual Studio.  

Notes:
- Extensions could report XSD errors. Those errors could be ignored safely.  
- Unfortunately...
More information","35,317,524",428
Duende.IdentityServer.AspNetIdentity,7.2.0,ASP.NET Core Identity Integration for Duende IdentityServer,"8,212,568",429
GraphQL.Client,6.1.0,A GraphQL Client for .NET Standard,"35,226,896",430
HotChocolate.Subscriptions,15.1.3,Contains Hot Chocolate GraphQL subscriptions abstractions.,"35,069,187",431
RedLock.net,2.3.2,An implementation of the Redlock distributed lock algorithm,"34,909,605",432
Apache.Avro,1.12.0,"Avro provides:

      Rich data structures.
      A compact, fast, binary data format.
      A container file, to store persistent data.
      Remote procedure call (RPC).
      Simple integration with dynamic...
More information","34,891,070",433
AWSSDK.Kinesis,3.7.402.100,"Amazon Kinesis is a fully managed, cloud-based service for real-time processing of large, distributed data streams.","34,743,494",434
Quartz.Extensions.Hosting,3.14.0,Quartz.NET Generic Host integration; Quartz Scheduling Framework for .NET,"34,427,630",435
Autofac.WebApi2,6.1.1,Autofac integration for ASP.NET WebAPI.,"34,425,483",436
SkiaSharp.NativeAssets.Linux,3.116.1,"SkiaSharp is a cross-platform 2D graphics API for .NET platforms based on Google's Skia Graphics Library.
It provides a comprehensive 2D API that can be used across mobile, server and desktop models to render...
More information","34,348,716",437
HotChocolate.Fetching,15.1.3,Package Description,"34,288,668",438
EFCore.NamingConventions,9.0.0,Naming Conventions for Entity Framework Core Tables and Columns.,"34,233,710",439
HotChocolate.Validation,15.1.3,Package Description,"34,210,591",440
HotChocolate,15.1.3,Contains the Hot Chocolate GraphQL query execution engine and query validation.,"34,161,350",441
HotChocolate.Execution,15.1.3,Package Description,"34,142,247",442
NUnit.Extension.NUnitV2ResultWriter,3.8.0,"This extension allows NUnit to create result files in the V2 format, which is used by many CI servers.","34,021,759",443
Markdig,0.40.0,"A fast, powerful, CommonMark compliant, extensible Markdown processor for .NET with 20+ builtin extensions (pipetables, footnotes, definition lists... etc.)","33,993,876",444
AWSSDK.CognitoIdentityProvider,3.7.407.18,"You can create a user pool in Amazon Cognito Identity to manage directories and users. You can authenticate a user to obtain tokens related to user identity and access policies. This API reference provides...
More information","33,940,186",445
RazorEngine,3.10.0,RazorEngine - A Templating Engine based on the Razor parser.,"33,791,701",446
Aspose.PDF,25.3.0,"Aspose.PDF for .NET is a PDF document creation and manipulation component that enables your .NET applications to read, write and manipulate existing PDF documents without using Adobe Acrobat. It also allows you...
More information","33,653,239",447
FluentMigrator,7.1.0,"FluentMigrator is a database migration framework for .NET written in C#. The basic idea is that you can create migrations which are simply classes that derive from the Migration base class and have a Migration...
More information","33,469,477",448
SkiaSharp.NativeAssets.Linux.NoDependencies,3.116.1,"SkiaSharp is a cross-platform 2D graphics API for .NET platforms based on Google's Skia Graphics Library.
It provides a comprehensive 2D API that can be used across mobile, server and desktop models to render...
More information","33,452,799",449
PDFsharp,6.1.1,"PDFsharp is the Open Source library for creating and modifying PDF documents using .NET. It has an easy-to-use API that allows developers to generate or modify PDF files programmatically. PDFsharp can be used...
More information","33,433,207",450
AspNetCore.HealthChecks.UI,9.0.0,HealthChecks.UI is a ASP.NET Core UI viewer of ASP.NET Core HealthChecks. For more information see https://github.com/Xabaril/AspNetCore.Diagnostics.HealthChecks,"33,346,166",451
FluentFTP,52.1.0,"An FTP and FTPS client for .NET & .NET Standard, optimized for speed. Provides extensive FTP commands, File uploads/downloads, SSL/TLS connections, Directory listing parsing, File hashing/checksums, File...
More information","33,273,228",452
NodaTime.Serialization.JsonNet,3.2.0,Provides serialization support between Noda Time and Json.NET.,"33,183,893",453
NUnit.Extension.TeamCityEventListener,1.0.9,"This extension sends specially formatted messages about test progress to TeamCity as each test executes, allowing TeamCity to monitor progress.","33,079,404",454
Xunit.SkippableFact,1.5.23,"Make your Xunit test methods self-determine to report a ""skipped"" result. Useful for such cases as ""not supported on this platform"" results or other environmental inputs.","33,003,878",455
Momentum.Pm.PortalApi,5.20.0.634,Client for Momentum PM Portal-API,"32,901,775",456
EasyNetQ,7.8.0,A nice .NET API for RabbitMQ,"32,832,498",457
NUnit.Extension.NUnitProjectLoader,3.8.0,"This extension allows the engine to run NUnit projects, which have a file extension of '.nunit'.","32,827,004",458
GraphQL.Primitives,6.1.0,GraphQL basic types,"32,712,659",459
Cronos,0.9.0,A fully-featured .NET library for parsing cron expressions and calculating next occurrences that was designed with time zones in mind and correctly handles daylight saving time transitions.,"32,640,221",460
NUnit.Extension.NUnitV2Driver,3.9.0,This extension allows NUnit to load and run tests compiled against earlier versions of the NUnit framework. Versions 2.0 through 2.7 are supported.,"32,619,268",461
NUnit.Extension.VSProjectLoader,3.9.0,"This extension allows NUnit to recognize and load solutions and projects in Visual Studio format. It supports files of type .sln, .csproj, .vbproj, .vjsproj, .vcproj and .fsproj.","32,612,077",462
Confluent.SchemaRegistry,2.8.0,A .NET Client for Confluent Schema Registry,"32,515,633",463
AspNetCore.HealthChecks.NpgSql,9.0.0,HealthChecks.NpgSql is a health check for Postgress Sql.,"32,479,516",464
Iced,1.21.0,"iced is a blazing fast and correct x86 (16/32/64-bit) instruction decoder, disassembler and assembler written in C#.

- 👍 Supports all Intel and AMD instructions
- 👍 Correct: All instructions are tested and...
More information","32,405,309",465
Irony.NetCore,1.1.11,"Irony.NetCore is a .NET Core compatible version of the Irony framework initially developed and maintained by Roman Ivantsov. Irony is a development kit for implementing languages on .NET platform. In Irony the...
More information","32,394,010",466
Constructs,10.4.2,A programming model for software-defined state (Stability: Stable),"32,239,374",467
GraphQL.Client.Abstractions,6.1.0,Abstractions for GraphQL.Client,"32,235,934",468
MiniProfiler.AspNetCore,4.5.4,"Lightweight mini-profiler, designed for ASP.NET Core (not System.Web) websites","32,186,284",469
AspNetCore.HealthChecks.Rabbitmq,9.0.0,HealthChecks.RabbitMQ is the health check package for RabbitMQ.Client.,"32,102,021",470
GraphQL.Client.Abstractions.Websocket,6.1.0,Abstractions for the Websocket transport used in GraphQL.Client,"32,070,587",471
OneOf,3.0.271,"F# style discriminated unions for C#, using a custom type OneOf<T0, ... Tn> which holds a single value and has a .Match(...) method on it for exhaustive matching. Simple but powerful.","31,798,647",472
Splat,15.3.1,A library to make things cross-platform that should be.,"31,776,117",473
Asp.Versioning.Mvc.ApiExplorer,8.1.0,The API Explorer extensions for ASP.NET Core API Versioning.,"31,727,487",474
Cucumber.Messages,27.0.2,JSON schema-based messages for Cucumber's inter-process communication,"31,712,092",475
HotChocolate.Types.CursorPagination,15.1.3,Contains middleware and types for cursor based pagination.,"31,577,928",476
knockoutjs,3.5.1,"A JavaScript MVVM library to help you create rich, dynamic user interfaces with clean maintainable code","31,525,956",477
Superpower,3.0.0,A parser combinator library for C#,"31,392,141",478
Castle.Core.AsyncInterceptor,2.1.0,AsyncInterceptor is an extension to Castle DynamicProxy to simplify the development of interceptors for asynchronous methods.,"31,380,153",479
Hangfire.NetCore,1.8.18,".NET Core's Worker Service host support for Hangfire, a background job framework for .NET applications.","31,371,896",480
Google.Api.Gax.Grpc.GrpcCore,3.7.0,Implementation of the GAX GrpcAdapter abstract class based on Grpc.Core,"31,367,308",481
Amazon.Lambda.Serialization.Json,2.2.4,Amazon Lambda .NET Core support - Serialization.Json package.,"31,331,459",482
Volo.Abp.Core,9.1.1,Package Description,"31,173,877",483
LaunchDarkly.Logging,2.0.0,LaunchDarkly logging abstraction,"31,142,802",484
Topshelf,4.3.0,"Topshelf is an open source project for hosting services without friction. By referencing Topshelf, your console application *becomes* a service installer with a comprehensive set of command-line options for...
More information","31,114,059",485
Google.Cloud.PubSub.V1,3.23.0,"Recommended Google client library to access the Google Cloud Pub/Sub API, which provides reliable, many-to-many, asynchronous messaging between applications.","31,104,018",486
LaunchDarkly.CommonSdk,7.0.0,LaunchDarkly common code for .NET and Xamarin clients,"30,970,673",487
Mapster.Core,1.2.1,Lightweight library for Mapster and Mapster CodeGen,"30,950,927",488
XLParser,1.7.5,A parser for Excel formulas,"30,913,521",489
SharpYaml,2.1.1,"A YAML portable .NET library. providing parsing and serialization of object graphs, compatible with CoreCLR.","30,778,329",490
DotNetSeleniumExtras.WaitHelpers,3.11.0,"This package provides an implementation of the ExpectedConditions class for use with WebDriverWait in .NET, replacing the implementation originally provided by the Selenium project.","30,758,963",491
NUnit.Console,3.19.2,"This package includes the nunit3-console runner and test engine for version 3 of the NUnit unit-testing framework.

      The following extensions are included with this package:
      * NUnitProjectLoader...
More information","30,635,781",492
HotChocolate.Types.OffsetPagination,15.1.3,Contains middleware and types for offset based pagination.,"30,622,614",493
LaunchDarkly.InternalSdk,3.4.0,LaunchDarkly internal common code for .NET and Xamarin clients,"30,449,679",494
App.Metrics.Extensions.DependencyInjection,4.3.0,Microsoft.Extensions.DependencyInjection (IServiceCollection) support for App Metrics.,"30,387,171",495
LinqKit,1.3.8,LinqKit.EntityFramework contains extensions for LINQ to SQL and Entity Framework. Include(...) and IAsync are supported.,"30,153,867",496
HarfBuzzSharp.NativeAssets.macOS,8.3.0.1,HarfBuzzSharp is a cross-platform OpenType text shaping engine for .NET platforms.,"30,151,320",497
HarfBuzzSharp.NativeAssets.Win32,8.3.0.1,HarfBuzzSharp is a cross-platform OpenType text shaping engine for .NET platforms.,"30,136,368",498
Prism.Core,9.0.537,"Prism provides an implementation of a collection of design patterns that are helpful in writing well structured and maintainable XAML applications, including MVVM, dependency injection, commanding, event...
More information","30,076,975",499
App.Metrics.AspNetCore.Abstractions,4.3.0,"App Metrics ASP.NET Core abstractions and interfaces for routing, HTTP response formatting and more.","29,724,171",500
Serilog.Sinks.MSSqlServer,8.2.0,A Serilog sink that writes events to Microsoft SQL Server and Azure SQL,"29,606,276",501
MiniProfiler.AspNetCore.Mvc,4.5.4,"Lightweight mini-profiler, designed for ASP.NET Core MVC (*not* System.Web) websites","29,563,301",502
Remotion.Linq.EagerFetching,2.2.0,Allows LINQ providers based on re-linq Frontend to support eager fetching.,"29,477,456",503
HotChocolate.Subscriptions.InMemory,15.1.3,Contains an in-memory implementation for a Hot Chocolate GraphQL subscription provider.,"29,453,408",504
HotChocolate.AspNetCore,15.1.3,"This package contains the GraphQL ASP.NET Core middleware for Hot Chocolate. Moreover, this package includes the Nitro middleware, which provides you with our beloved GraphQL IDE middleware.","29,438,750",505
NLog.Config,4.7.15,"NLog.config file to get started with configuring NLog.
This package is not mandatory to get started with NLog: the configuration file can
created manually (read specs here:...
More information","29,380,660",506
Serilog.Settings.AppSettings,3.0.0,XML configuration (System.Configuration <appSettings>) support for Serilog.,"29,333,093",507
Duende.IdentityServer.EntityFramework.Storage,7.2.0,EntityFramework persistence layer for Duende IdentityServer,"9,360,265",508
App.Metrics.AspNetCore.Core,4.3.0,App Metrics ASP.NET Core core components.,"29,222,223",509
DotLiquid,2.3.197,DotLiquid is a templating system ported to the .NET framework from Ruby’s Liquid Markup.,"29,218,219",510
StackExchange.Redis.Extensions.Core,11.0.0,"StackExchange.Redis.Extensions is a library that extends StackExchange.Redis allowing you a set of functionality needed by common applications.

            To store complex data It requires one of the...
More information","29,116,288",511
Amazon.Lambda.Logging.AspNetCore,3.1.1,Amazon Lambda .NET Core support - Logging ASP.NET Core package.,"29,067,799",512
FluentMigrator.Abstractions,7.1.0,"FluentMigrator is a database migration framework for .NET written in C#. The basic idea is that you can create migrations which are simply classes that derive from the Migration base class and have a Migration...
More information","29,035,679",513
App.Metrics.Extensions.Configuration,4.3.0,Microsoft.Extensions.Configuration support for App Metrics e.g. appsettings.json,"29,030,772",514
AWS.Logger.Core,3.3.3,AWS Core logging library used to send logging messages to Amazon CloudWatch Logs,"29,013,957",515
SpecFlow.NUnit,3.9.74,Package to use SpecFlow with NUnit 3.13 and later,"29,004,707",516
MicroElements.Swashbuckle.FluentValidation,6.1.0,Swagger ISchemaFilter that uses FluentValidation validators instead System.ComponentModel based attributes.,"28,968,382",517
itext7,9.1.0,"iText represents the next level of SDKs for developers that want to take advantage of the benefits PDF can bring. Equipped with a better document engine, high- and low-level programming capabilities and the...
More information","28,960,851",518
DistributedLock.Core,1.0.8,Core interfaces and utilities that support the DistributedLock.* family of packages,"28,767,950",519
Stef.Validation,0.1.1,"Argument validation like: Guard.NotNull, Guard.NotNullOrEmpty, Guard.NotNullOrWhiteSpace, Guard.Condition en Guard.HasNoNulls.","28,704,312",520
Aspose.Cells,25.3.0,"A powerful and fast library written in C# for manipulating and converting Excel(XLS, XLSX,XLSB), ODS, CSV,JSON and HTML files.","28,548,279",521
Magick.NET-Q16-AnyCPU,14.5.0,"ImageMagick is a powerful image manipulation library that supports over 100 major file formats (not including sub-formats). With Magick.NET you can use ImageMagick without having to install ImageMagick on your...
More information","28,546,806",522
Magick.NET.Core,14.5.0,"ImageMagick is a powerful image manipulation library that supports over 100 major file formats (not including sub-formats). With Magick.NET you can use ImageMagick without having to install ImageMagick on your...
More information","28,496,268",523
Aspose.Words,25.3.0,"Aspose.Words for .NET is a cross-platform document processing library that allows developers to work with a variety of Microsoft Word, OpenOffice, Web, PDF, and image file formats. .NET developers can easily...
More information","28,392,377",524
Std.UriTemplate,2.0.3,Std.Uritemplate for .NET - Implementation of RFC 6570 (Level 4),"28,128,319",525
Elastic.Apm.AspNetCore,1.31.0,Elastic APM for ASP.NET Core. This package contains auto instrumentation for ASP.NET Core. See: https://github.com/elastic/apm-agent-dotnet/tree/main/docs,"28,100,765",526
NJsonSchema.Annotations,11.2.0,"JSON Schema reader, generator and validator for .NET","27,988,476",527
Ardalis.GuardClauses,5.0.0,A simple package by @ardalis and @nimblepros with guard clause helper methods. See docs for how to extend using your own extension methods defined in your project.,"27,973,401",528
Semver,3.0.0,A semantic version library fully compliant with v2.0.0 of the spec found at http://semver.org.,"27,878,419",529
FirebaseAdmin,3.1.0,"Firebase Admin SDK enables server-side .NET developers to integrate Firebase into their
      services and applications.","27,758,159",530
SixLabors.ImageSharp.Drawing,2.1.5,"An extension to ImageSharp that allows the drawing of images, paths, and text.","27,700,423",531
ZXing.Net,0.16.10,"ZXing.Net is a port of ZXing, an open-source, multi-format 1D/2D barcode image processing library originally implemented in Java.
      It has been ported by hand with a lot of optimizations and improvements....
More information","27,693,617",532
Unity.Interception,5.11.1,Unity Interception,"27,644,731",533
FluentMigrator.Runner,7.1.0,"FluentMigrator is a database migration framework for .NET written in C#. The basic idea is that you can create migrations which are simply classes that derive from the Migration base class and have a Migration...
More information","27,611,110",534
App.Metrics.AspNetCore.Hosting,4.3.0,App Metrics ASP.NET Core Hosting provides extensions to configure App Metrics in an ASP.NET Core application.,"27,446,244",535
Rg.Plugins.Popup,2.1.0,Plugin for Xamarin forms. Allows you to open any page as a popup.,"27,440,612",536
Volo.Abp.Uow,9.1.1,Package Description,"27,280,953",537
Destructurama.Attributed,5.1.0,Use attributes to control how complex types are logged to Serilog.,"27,262,190",538
Volo.Abp.Data,9.1.1,Package Description,"27,252,201",539
Volo.Abp.Security,9.1.1,Package Description,"27,238,076",540
Roslynator.Analyzers,4.13.1,"A collection of 200+ analyzers for C#, powered by Roslyn.","27,203,516",541
BCrypt.Net-Next,4.0.3,"A fixed, enhanced and namespace compatible version of BCrypt.Net port of jBCrypt implemented in C#. It uses a variant of the Blowfish encryption algorithm’s keying schedule, and introduces a work factor, which...
More information","27,169,462",542
Yarp.ReverseProxy,2.3.0,Reverse proxy toolkit for building fast proxy servers in .NET using the infrastructure from ASP.NET and .NET,"27,124,883",543
EnterpriseLibrary.Common,6.0.1304,"The Enterprise Library Common assembly contains elements that are shared among multiple application blocks. By supplying a set of commonly used functions to all the application blocks, the Common assembly...
More information","27,088,649",544
Amazon.Lambda.Tools,5.12.4,Amazon.Lambda.Tools adds commands to the dotnet cli to deploy AWS Lambda functions.,"26,775,989",545
Autofac.Extras.DynamicProxy,7.1.0,Autofac extension for enabling AOP in conjunction with Castle.,"26,760,217",546
App.Metrics.AspNetCore.Endpoints,4.3.0,App Metrics ASP.NET Core Endpoints provides the ability to expose metrics and environment information as web endpoints.,"26,759,810",547
dbup-sqlserver,6.0.0,DbUp makes it easy to deploy and upgrade Microsoft  SQL Server databases. This package adds SqlServer support.,"26,758,305",548
RichardSzalay.MockHttp,7.0.0,Testing layer for Microsoft's HttpClient library,"26,726,708",549
AutoMapper.Collection,11.0.0,"Collection Add/Remove/Update support for AutoMapper. AutoMapper.Collection adds EqualityComparison Expressions for TypeMaps to determine if Source and Destination type are equivalent to each other when mapping...
More information","26,594,329",550
Volo.Abp.Localization.Abstractions,9.1.1,Package Description,"26,566,578",551
Testcontainers,4.3.0,Testcontainers for .NET is a library to support tests with throwaway instances of Docker containers for all compatible .NET Standard versions.,"26,510,745",552
FluentMigrator.Runner.Core,7.1.0,"FluentMigrator is a database migration framework for .NET written in C#. The basic idea is that you can create migrations which are simply classes that derive from the Migration base class and have a Migration...
More information","26,501,064",553
HotChocolate.Types.Scalars.Upload,15.1.3,Contains the GraphQL Upload Scalar.,"26,456,800",554
HotChocolate.Types.Mutations,15.1.3,This package provides helpers for creating GraphQL mutations.,"26,439,925",555
AspNetCoreRateLimit,5.0.0,ASP.NET Core rate limiting middleware,"26,393,260",556
Volo.Abp.Settings,9.1.1,Package Description,"26,356,742",557
Volo.Abp.VirtualFileSystem,9.1.1,Package Description,"26,348,628",558
AWSXRayRecorder.Core,2.15.0,The AWS X-Ray Recorder core runtime.,"26,328,041",559
LiteDB,5.0.21,"LiteDB - A lightweight embedded .NET NoSQL document store in a single datafile
Signed by signpath.io from repository 'https://github.com/mbdavid/LiteDB' commit '391cc9318c5be6e56cb71b3ce14b1ed9cb324763' (see...
More information","26,300,896",560
ImpromptuInterface,8.0.6,A Lightweight Duck Casting Framework for dynamic C#,"26,294,176",561
dotnet-serve,1.10.175,"A simple command-line HTTP server.

This package was build from source code at https://github.com/natemcmaster/dotnet-serve/tree/fa21e93f390390cee5b6e5d440e9439a8b1b81f1","26,284,216",562
Volo.Abp.Localization,9.1.1,Package Description,"26,126,355",563
Volo.Abp.MultiTenancy,9.1.1,Package Description,"26,048,462",564
MassTransit.AspNetCore,7.3.1,MassTransit hosting for ASP.NET Core; MassTransit is a message-based distributed application framework for .NET http://masstransit-project.com,"25,879,308",565
AWSSDK.EC2,3.7.436.11,Amazon Elastic Compute Cloud (Amazon EC2) is a web service that provides resizable compute capacity in the cloud. It is designed to make web-scale cloud computing easier for developers.,"25,818,027",566
Elastic.Apm.Extensions.Hosting,1.31.0,Elastic APM .NET Agent. This package offers integration with Microsoft.Extensions.Hosting.IHostBuilder for agent registration,"25,812,035",567
Pomelo.JsonObject,2.2.1,MySQL provider for Entity Framework Core,"25,778,074",568
FluentMigrator.Extensions.SqlServer,7.1.0,"FluentMigrator is a database migration framework for .NET written in C#. The basic idea is that you can create migrations which are simply classes that derive from the Migration base class and have a Migration...
More information","25,726,424",569
EPPlus.Interfaces,8.0.0,Package Description,"25,634,199",570
FluentMigrator.Runner.SqlServer,7.1.0,"FluentMigrator is a database migration framework for .NET written in C#. The basic idea is that you can create migrations which are simply classes that derive from the Migration base class and have a Migration...
More information","25,629,680",571
Dynamitey,3.0.3,(pronounced dyna-mighty) flexes DLR muscle to do meta-mazing things in .net,"25,529,627",572
FluentMigrator.Runner.Postgres,7.1.0,"FluentMigrator is a database migration framework for .NET written in C#. The basic idea is that you can create migrations which are simply classes that derive from the Migration base class and have a Migration...
More information","25,471,546",573
WireMock.Net,1.7.4,"Lightweight Http Mocking Server for .Net, inspired by WireMock from the Java landscape.","25,453,479",574
Castle.LoggingFacility,6.0.0,"Castle Windsor logging facility lets you easily inject loggers into your components. It offers integration with most popular 3rd party logging frameworks like log4net, NLog and Serilog (see Castle Core docs).","25,342,320",575
Serilog.Enrichers.CorrelationId,3.0.1,Enrich logs with a unique ID so you can track logs for specific requests.,"25,335,416",576
App.Metrics.AspNetCore.Tracking,4.3.0,App Metrics ASP.NET Core Tracking provides the ability to automatically collect typical web metrics from an ASP.NET Core application.,"25,335,402",577
UAParser,3.1.47,A .net wrapper for the ua-parser library,"25,274,269",578
Google.Apis.Bigquery.v2,1.69.0.3724,"This is not the recommended package for working with Bigquery, please use the Google.Cloud.BigQuery.V2 package.
      This Google APIs Client Library for working with Bigquery v2 uses older code generation, and...
More information","25,219,074",579
HotChocolate.Utilities.Introspection,15.1.3,Contains an introspection client to download a GraphQL schema over HTTP.,"25,175,639",580
FluentMigrator.Runner.Oracle,7.1.0,"FluentMigrator is a database migration framework for .NET written in C#. The basic idea is that you can create migrations which are simply classes that derive from the Migration base class and have a Migration...
More information","25,125,056",581
Volo.Abp.ObjectExtending,9.1.1,Package Description,"25,113,456",582
FluentMigrator.Runner.MySql,7.1.0,"FluentMigrator is a database migration framework for .NET written in C#. The basic idea is that you can create migrations which are simply classes that derive from the Migration base class and have a Migration...
More information","25,031,826",583
FluentMigrator.Runner.SQLite,7.1.0,"FluentMigrator is a database migration framework for .NET written in C#. The basic idea is that you can create migrations which are simply classes that derive from the Migration base class and have a Migration...
More information","25,031,516",584
AWSSDK.SSO,3.7.400.123,This is an initial release of AWS Single Sign-On (SSO) end-user access. This release adds support for accessing AWS accounts assigned in AWS SSO using short term credentials.,"24,965,713",585
FluentMigrator.Runner.Db2,7.1.0,"FluentMigrator is a database migration framework for .NET written in C#. The basic idea is that you can create migrations which are simply classes that derive from the Migration base class and have a Migration...
More information","24,963,524",586
Hellang.Middleware.ProblemDetails,6.5.1,"Error handling middleware, using RFC7807","24,958,021",587
FluentMigrator.Runner.Firebird,7.1.0,"FluentMigrator is a database migration framework for .NET written in C#. The basic idea is that you can create migrations which are simply classes that derive from the Migration base class and have a Migration...
More information","24,945,874",588
FluentMigrator.Runner.Redshift,7.1.0,"FluentMigrator is a database migration framework for .NET written in C#. The basic idea is that you can create migrations which are simply classes that derive from the Migration base class and have a Migration...
More information","24,940,741",589
FluentMigrator.Runner.Hana,7.1.0,"FluentMigrator is a database migration framework for .NET written in C#. The basic idea is that you can create migrations which are simply classes that derive from the Migration base class and have a Migration...
More information","24,917,088",590
Volo.Abp.Validation.Abstractions,9.1.1,Package Description,"24,738,921",591
AWSSDK.CognitoIdentity,3.7.402.43,"Amazon Cognito is a service that makes it easy to save user data, such as app preferences or game state, in the AWS Cloud without writing any backend code or managing any infrastructure. With Amazon Cognito,...
More information","24,652,962",592
AWSSDK.SSOOIDC,3.7.401.1,This is an initial release of AWS Single Sign-On OAuth device code authorization service.,"24,597,475",593
Auth0.Core,7.35.0,Auth0 .NET SDK,"24,387,758",594
XPath2,1.1.5,This is an implementation of W3C XML Path Language (XPath) 2.0 for .NET based on standard XPathNavigator API.,"24,375,734",595
Serilog.Sinks.Trace,4.0.0,The System.Diagnostics.Trace sink for Serilog.,"24,373,220",596
Elastic.Apm.EntityFrameworkCore,1.31.0,Elastic APM for Entity Framework Core. This package contains auto instrumentation for Entity Framework Core. See: https://github.com/elastic/apm-agent-dotnet/tree/main/docs,"24,362,605",597
App.Metrics.AspNetCore,4.3.0,App Metrics ASP.NET Core is a an open-source web framework allowing you to record typical web metrics and expose metrics and environment information over HTTP and more.,"24,280,252",598
Handlebars.Net.Helpers,2.4.13,"Several Handlebars.Net helpers in the categories: 'Boolean', 'Constants', 'DateTime', 'Path', 'Enumerable', 'Environment', 'Math', 'Regex', 'String' and 'Urls'.","24,267,040",599
WireMock.Net.Abstractions,1.7.4,"Commonly used models, enumerations and types.","24,237,843",600
App.Metrics.Extensions.Hosting,4.3.0,Microsoft.Extensions.Hosting (IHostBuilder) support for App Metrics.,"24,233,246",601
AWSSDK.IdentityManagement,3.7.405.1,"AWS Identity and Access Management (IAM) enables you to securely control access to AWS services and resources for your users. Using IAM, you can create and manage AWS users and groups, and use permissions to...
More information","24,209,721",602
Ninject.Web.Common,3.3.2,Bootstrapper for web projects.,"24,173,604",603
AsyncEnumerator,4.0.2,"Introduces IAsyncEnumerable, IAsyncEnumerator, ForEachAsync(), and ParallelForEachAsync()
GitHub: https://github.com/Dasync/AsyncEnumerable

PROBLEM SPACE

Helps to (a) create an element provider, where...
More information","24,098,540",604
Volo.Abp.Threading,9.1.1,Package Description,"24,090,184",605
MscrmTools.Xrm.Connection,1.2024.9.59,Provides Winforms control to connect to Microsoft Dynamics CRM / 365 for Customer Engagement and Microsoft Dataverse deployments,"24,022,725",606
MockQueryable.Core,7.0.3,"Core package for MockQueryable extensions for mocking operations such ToListAsync, FirstOrDefaultAsync etc.
			When writing tests for your application it is often desirable to avoid hitting the database. The...
More information","23,885,117",607
Serilog.Sinks.Http,9.1.1,A Serilog sink sending log events over HTTP.,"23,716,575",608
Sentry.Serilog,5.4.0,Official Serilog integration for Sentry - Open-source error tracking that helps developers monitor and fix crashes in real time.,"23,574,335",609
Amazon.Lambda.AspNetCoreServer,9.0.4,Amazon.Lambda.AspNetCoreServer makes it easy to run ASP.NET Core Web API applications as AWS Lambda functions.,"23,567,475",610
RandomDataGenerator.Net,1.0.18,"This is a configurable generator to create random data like Lorum Ipsum Text, Words, Text Patterns, First/Last Names, IP-Addresses, Guids, DateTime and more.","23,428,785",611
Serilog.Formatting.Compact.Reader,4.0.0,Package Description,"23,426,586",612
Serilog.Sinks.Datadog.Logs,0.5.5,Serilog Sink that sends log events to Datadog https://www.datadoghq.com/,"23,366,918",613
NEST.JsonNetSerializer,7.17.5,NEST uses an internal serializer. This package enables serialization for your documents using your own custom Json.NET serializer,"23,349,912",614
Oracle.ManagedDataAccess,23.7.0,"Managed Oracle Data Provider for .NET (ODP.NET) features optimized ADO.NET data access to the Oracle database for .NET Framework and is 100% managed code. ODP.NET allows developers to take advantage of advanced...
More information","23,243,954",615
JmesPath.Net,1.0.330,JmesPath.Net is a fully compliant JMESPATH parser.,"23,186,301",616
Moment.js,2.30.1,"A lightweight JavaScript date library for parsing, manipulating, and formatting dates.","23,178,010",617
Volo.Abp.Timing,9.1.1,Package Description,"23,155,976",618
Scriban,6.0.0,"Scriban is a fast, powerful, safe and lightweight scripting language and engine for .NET, which was primarily developed for text templating with a compatibility mode for parsing liquid templates.","23,090,350",619
BuildBundlerMinifier,3.2.449,"Bundles and minifies CSS, JS and HTML files","23,022,823",620
PropertyChanged.Fody,4.1.0,Add property notification to all classes that implement INotifyPropertyChanged.,"22,987,207",621
FluentMigrator.Extensions.Oracle,7.1.0,"FluentMigrator is a database migration framework for .NET written in C#. The basic idea is that you can create migrations which are simply classes that derive from the Migration base class and have a Migration...
More information","22,956,081",622
Glob,1.1.9,A C# Glob library for .NET and .NET Core.,"22,881,199",623
Serilog.Enrichers.Span,3.1.0,Enrich Serilog log events with properties from open telemetry spans.,"22,832,191",624
